source,target,relationship,weight
microsoft/vscode-copilot-release#991,panel-chat,has_label,1
microsoft/vscode-copilot-release#991,feature-request,has_label,1
microsoft/vscode-copilot-release#991,*out-of-scope,has_label,1
microsoft/vscode-copilot-release#6841,bug,has_label,1
microsoft/vscode-copilot-release#6841,network,has_label,1
microsoft/vscode-copilot-release#13583,question,has_label,1
microsoft/vscode-copilot-release#4936,feature-request,has_label,1
microsoft/vscode-copilot-release#9383,under-discussion,has_label,1
microsoft/vscode-copilot-release#9383,cross-file-editing,has_label,1
microsoft/vscode-copilot-release#7640,bug,has_label,1
microsoft/vscode-copilot-release#7640,chat-agent,has_label,1
microsoft/vscode-copilot-release#7640,capi,has_label,1
microsoft/vscode-copilot-release#1720,bug,has_label,1
microsoft/vscode-copilot-release#7518,feature-request,has_label,1
microsoft/vscode-copilot-release#7518,verified,has_label,1
microsoft/vscode-copilot-release#7518,verification-needed,has_label,1
microsoft/vscode-copilot-release#7518,model-byok,has_label,1
microsoft/vscode-copilot-release#11969,bug,has_label,1
microsoft/vscode-copilot-release#11969,cross-file-editing,has_label,1
microsoft/vscode-copilot-release#521,under-discussion,has_label,1
microsoft/vscode-copilot-release#5559,bug,has_label,1
microsoft/vscode-copilot-release#5559,chat-agent,has_label,1
microsoft/vscode-copilot-release#11027,feature-request,has_label,1
microsoft/vscode-copilot-release#7268,feature-request,has_label,1
microsoft/vscode-copilot-release#7268,custom-instructions,has_label,1
microsoft/vscode-copilot-release#13582,feature-request,has_label,1
microsoft/vscode-copilot-release#13582,prompts,has_label,1
microsoft/vscode-copilot-release#9865,review-with-agent,has_label,1
microsoft/vscode-copilot-release#7052,bug,has_label,1
microsoft/vscode-copilot-release#7052,completions,has_label,1
microsoft/vscode-copilot-release#7569,feature-request,has_label,1
microsoft/vscode-copilot-release#7569,model-byok,has_label,1
microsoft/vscode-copilot-release#13062,info-needed,has_label,1
microsoft/vscode-copilot-release#3673,feature-request,has_label,1
microsoft/vscode-copilot-release#7823,duplicate,has_label,1
microsoft/vscode-copilot-release#7823,feature-request,has_label,1
microsoft/vscode-copilot-release#10262,network,has_label,1
microsoft/vscode-copilot-release#10262,under-discussion,has_label,1
microsoft/vscode-copilot-release#7690,feature-request,has_label,1
microsoft/vscode-copilot-release#7690,completions,has_label,1
microsoft/vscode-copilot-release#8495,under-discussion,has_label,1
microsoft/vscode-copilot-release#8495,NES,has_label,1
microsoft/vscode-copilot-release#9099,info-needed,has_label,1
microsoft/vscode-copilot-release#6884,info-needed,has_label,1
microsoft/vscode-copilot-release#14039,info-needed,has_label,1
microsoft/vscode-copilot-release#14040,info-needed,has_label,1
microsoft/vscode-copilot-release#14041,info-needed,has_label,1
microsoft/vscode-copilot-release#14042,info-needed,has_label,1
microsoft/vscode-copilot-release#14044,info-needed,has_label,1
microsoft/vscode-copilot-release#14045,info-needed,has_label,1
microsoft/vscode-copilot-release#14047,info-needed,has_label,1
microsoft/vscode-copilot-release#5158,terminal,has_label,1
microsoft/vscode-copilot-release#5158,postponed-during-endgame,has_label,1
microsoft/vscode-copilot-release#14043,info-needed,has_label,1
microsoft/vscode-copilot-release#11161,info-needed,has_label,1
microsoft/vscode-copilot-release#11181,bug,has_label,1
microsoft/vscode-copilot-release#11181,completions,has_label,1
microsoft/vscode-copilot-release#11181,NES,has_label,1
microsoft/vscode-copilot-release#5456,info-needed,has_label,1
microsoft/vscode-copilot-release#5456,edit-generation,has_label,1
microsoft/vscode-copilot-release#6497,info-needed,has_label,1
microsoft/vscode-copilot-release#7606,chat-agent,has_label,1
microsoft/vscode-copilot-release#13039,*duplicate,has_label,1
microsoft/vscode-copilot-release#8095,bug,has_label,1
microsoft/vscode-copilot-release#11813,gemini,has_label,1
microsoft/vscode-copilot-release#14034,info-needed,has_label,1
microsoft/vscode-copilot-release#14036,info-needed,has_label,1
microsoft/vscode-copilot-release#14037,info-needed,has_label,1
microsoft/vscode-copilot-release#6867,bug,has_label,1
microsoft/vscode-copilot-release#6867,info-needed,has_label,1
microsoft/vscode-copilot-release#8729,info-needed,has_label,1
microsoft/vscode-copilot-release#8729,completions,has_label,1
microsoft/vscode-copilot-release#14027,info-needed,has_label,1
microsoft/vscode-copilot-release#3076,bug,has_label,1
microsoft/vscode-copilot-release#3076,cross-file-editing,has_label,1
microsoft/vscode-copilot-release#10838,info-needed,has_label,1
microsoft/vscode-copilot-release#12346,info-needed,has_label,1
microsoft/vscode-copilot-release#12411,info-needed,has_label,1
microsoft/vscode-copilot-release#12587,info-needed,has_label,1
microsoft/vscode-copilot-release#12651,info-needed,has_label,1
microsoft/vscode-copilot-release#12948,info-needed,has_label,1
microsoft/vscode-copilot-release#624,bug,has_label,1
microsoft/vscode-copilot-release#624,info-needed,has_label,1
microsoft/vscode-copilot-release#624,chat-context,has_label,1
microsoft/vscode-copilot-release#6942,info-needed,has_label,1
microsoft/vscode-copilot-release#7063,info-needed,has_label,1
microsoft/vscode-copilot-release#7075,info-needed,has_label,1
microsoft/vscode-copilot-release#7596,info-needed,has_label,1
microsoft/vscode-copilot-release#8443,info-needed,has_label,1
microsoft/vscode-copilot-release#9559,info-needed,has_label,1
microsoft/vscode-copilot-release#10485,info-needed,has_label,1
microsoft/vscode-copilot-release#10485,chat-apply-changes,has_label,1
microsoft/vscode-copilot-release#11271,info-needed,has_label,1
microsoft/vscode-copilot-release#11453,info-needed,has_label,1
microsoft/vscode-copilot-release#11540,info-needed,has_label,1
microsoft/vscode-copilot-release#11694,info-needed,has_label,1
microsoft/vscode-copilot-release#11941,info-needed,has_label,1
microsoft/vscode-copilot-release#12031,info-needed,has_label,1
microsoft/vscode-copilot-release#12114,info-needed,has_label,1
microsoft/vscode-copilot-release#12114,ai-translated,has_label,1
microsoft/vscode-copilot-release#12118,info-needed,has_label,1
microsoft/vscode-copilot-release#12133,info-needed,has_label,1
microsoft/vscode-copilot-release#12136,info-needed,has_label,1
microsoft/vscode-copilot-release#12145,info-needed,has_label,1
microsoft/vscode-copilot-release#12145,ai-translated,has_label,1
microsoft/vscode-copilot-release#12150,info-needed,has_label,1
microsoft/vscode-copilot-release#12169,info-needed,has_label,1
