source,target,relationship,weight
0-BlackSpectrum-0,anthropics/claude-code#13354,commented_on_issue,1
0000day,microsoft/vscode-copilot-release#13062,commented_on_issue,2
0nlyDev,microsoft/vscode-copilot-release#8330,commented_on_issue,1
0xZoharHuang,openai/codex#23480,opened_issue,1
0xalank,openai/codex#9544,commented_on_issue,1
0xbrainkid,anthropics/claude-code#48679,commented_on_issue,1
0xbrainkid,anthropics/claude-code#48725,commented_on_issue,1
0xbrainkid,anthropics/claude-code#49090,commented_on_issue,2
0xbrainkid,anthropics/claude-code#49094,commented_on_issue,2
0xbrainkid,anthropics/claude-code#49116,commented_on_issue,1
0xbrainkid,anthropics/claude-code#49125,commented_on_issue,1
0xbrainkid,anthropics/claude-code#49129,commented_on_issue,1
0xbrainkid,anthropics/claude-code#49132,commented_on_issue,1
0xbrainkid,anthropics/claude-code#49145,commented_on_issue,1
0xbrainkid,anthropics/claude-code#49148,commented_on_issue,1
0xbrainkid,anthropics/claude-code#50567,commented_on_issue,1
0xbrainkid,anthropics/claude-code#50842,commented_on_issue,1
0xbrainkid,anthropics/claude-code#51168,commented_on_issue,1
0xmetamonkey,anthropics/claude-code#17432,commented_on_issue,1
0xsquawk,anthropics/claude-code#17432,commented_on_issue,1
1056013733,openai/codex#20161,commented_on_issue,2
1060401-LWSD,microsoft/vscode-copilot-release#14043,commented_on_issue,1
1060401-LWSD,microsoft/vscode-copilot-release#14043,opened_issue,1
11002160-VicMao,microsoft/vscode-copilot-release#14053,commented_on_issue,1
15230745073,openai/codex#24390,opened_issue,1
16650359708-blip,openai/codex#19747,commented_on_issue,2
16650359708-blip,openai/codex#19747,opened_issue,1
1939869736luosi,openai/codex#13018,commented_on_issue,1
1939869736luosi,openai/codex#8784,commented_on_issue,1
2093686099,anthropics/claude-code#62157,opened_issue,1
21888,openai/codex#20598,commented_on_issue,2
2233admin,anthropics/claude-code#39039,commented_on_issue,1
2c67cc18,openai/codex#22090,opened_issue,1
2spring,anthropics/claude-code#13354,commented_on_issue,1
3TTemi,anthropics/claude-code#27302,commented_on_issue,1
3f6a,openai/codex#14985,commented_on_issue,2
3koozy,anthropics/claude-code#47112,commented_on_issue,1
3koozy,anthropics/claude-code#47112,opened_issue,1
3rd,anthropics/claude-code#38335,commented_on_issue,1
3uyuan1ee,anthropics/claude-code#48506,opened_issue,1
45j87948b2-crypto,anthropics/claude-code#62105,opened_issue,1
4Lienau,anthropics/claude-code#38335,commented_on_issue,5
4everWZ,openai/codex#24348,commented_on_issue,1
4everWZ,openai/codex#24348,opened_issue,1
4piu,microsoft/vscode-copilot-release#991,commented_on_issue,1
522485449,openai/codex#14297,commented_on_issue,1
60pfennig,microsoft/vscode-copilot-release#1378,commented_on_issue,1
6639835,openai/codex#14860,commented_on_issue,3
6639835,openai/codex#9544,commented_on_issue,3
73R3WY,anthropics/claude-code#38335,commented_on_issue,1
7Kamma,openai/codex#14297,commented_on_issue,1
8-unlimit,anthropics/claude-code#5277,commented_on_issue,1
8bit-euclid,microsoft/vscode-copilot-release#12031,commented_on_issue,1
8bit-euclid,microsoft/vscode-copilot-release#12031,opened_issue,1
92645417d9e5c763259dbebc306e3e,openai/codex#23102,commented_on_issue,1
92645417d9e5c763259dbebc306e3e,openai/codex#23102,opened_issue,1
92645417d9e5c763259dbebc306e3e,openai/codex#24186,opened_issue,1
928234269,openai/codex#14860,commented_on_issue,1
A-Ezechi,microsoft/vscode-copilot-release#14137,opened_issue,1
A6669,anthropics/claude-code#62129,opened_issue,1
AB9955,anthropics/claude-code#17432,commented_on_issue,1
ACMCMC,microsoft/vscode-copilot-release#13593,commented_on_issue,1
AHMEDFOUAAD,anthropics/claude-code#38335,commented_on_issue,2
AISorc,openai/codex#9508,commented_on_issue,1
