source,target,relationship,storyKey,weight
1123581321,enono,replied_to,hn_35152851,1
Double_a_92,enono,replied_to,hn_35152851,1
PhysicalNomad,enono,replied_to,hn_35152851,1
dang,enono,replied_to,hn_35152851,1
dboreham,incomingpain,replied_to,hn_45761979,1
dingliqing53,anxtyinmgmt,replied_to,hn_35152851,1
dingliqing53,digdugdirk,replied_to,hn_35152851,1
gangster_dave,janice1999,replied_to,hn_46707409,1
gangster_dave,mrosoff,replied_to,hn_46707409,1
jacobsenscott,anxtyinmgmt,replied_to,hn_35152851,1
lumax15,8note,replied_to,hn_35152851,1
lumax15,enono,replied_to,hn_35152851,1
lumax15,kanyethegreat,replied_to,hn_35152851,1
lumax15,saurabh20n,replied_to,hn_35152851,1
lumax15,sqs,replied_to,hn_35152851,1
nkko,phkahler,replied_to,hn_35152851,1
nprateem,sqs,replied_to,hn_35152851,1
primax,enono,replied_to,hn_35152851,1
rileyphone,digdugdirk,replied_to,hn_35152851,1
sebzim4500,alsodumb,replied_to,hn_35152851,1
sebzim4500,anxtyinmgmt,replied_to,hn_35152851,1
swatcoder,alsodumb,replied_to,hn_35152851,1
