sourceQuery,searchRank,storyKey,storyId,title,text,author,score,createdAt,url,hnUrl,commentCount,collectedCommentCount
GitHub Copilot,1,hn_27676266,27676266,GitHub Copilot,,todsacerdoti,2905,2021-06-29,https://copilot.github.com/,https://news.ycombinator.com/item?id=27676266,1272,30
GitHub Copilot,2,hn_35261065,35261065,GitHub Copilot X – Sign up for technical preview,,todsacerdoti,1096,2023-03-22,https://github.blog/2023-03-22-github-copilot-x-the-ai-powered-developer-experience/,https://news.ycombinator.com/item?id=35261065,751,30
GitHub Copilot,3,hn_27687450,27687450,GitHub Copilot as open source code laundering?,,agomez314,1028,2021-06-30,https://twitter.com/eevee/status/1410037309848752128,https://news.ycombinator.com/item?id=27687450,459,30
GitHub Copilot,4,hn_33226515,33226515,"GitHub Copilot, with “public code” blocked, emits my copyrighted code",,davidgerard,914,2022-10-16,https://twitter.com/docsparse/status/1581461734665367554,https://news.ycombinator.com/item?id=33226515,775,30
GitHub Copilot,5,hn_35921375,35921375,GitHub Copilot Chat Leaked Prompt,,marvinvonhagen,910,2023-05-12,https://twitter.com/marvinvonhagen/status/1657060506371346432,https://news.ycombinator.com/item?id=35921375,609,30
GitHub Copilot,6,hn_31825742,31825742,GitHub Copilot is generally available,,sammorrowdrums,863,2022-06-21,https://github.blog/2022-06-21-github-copilot-is-generally-available-to-all-developers/,https://news.ycombinator.com/item?id=31825742,760,30
GitHub Copilot,7,hn_47923357,47923357,GitHub Copilot is moving to usage-based billing,,frizlab,767,2026-04-27,https://github.blog/news-insights/company-news/github-copilot-is-moving-to-usage-based-billing/,https://news.ycombinator.com/item?id=47923357,553,30
GitHub Copilot,8,hn_33457063,33457063,We've filed a lawsuit against GitHub Copilot,,iworshipfaangs2,724,2022-11-03,https://githubcopilotlitigation.com/,https://news.ycombinator.com/item?id=33457063,781,30
GitHub Copilot,9,hn_35470915,35470915,Show HN: Tabby – A self-hosted GitHub Copilot,"I would like to introduce Tabby, which is a self-hosted alternative to GitHub Copilot that you can integrate into your hardware. While GitHub Copilot has made coding more efficient and less time-consuming by assisting developers with suggestions and completing code, it raises concerns around privacy and security.<p>Tabby is in its early stages, and we are excited to receive feedback from the community.<p>Its Github repository is located here: <a href=""https:&#x2F;&#x2F;github.com&#x2F;TabbyML&#x2F;tabby"">https:&#x2F;&#x2F;github.com&#x2F;TabbyML&#x2F;tabby</a>.<p>We have also deployed the latest docker image to Huggingface for a live demo: <a href=""https:&#x2F;&#x2F;huggingface.co&#x2F;spaces&#x2F;TabbyML&#x2F;tabby"" rel=""nofollow"">https:&#x2F;&#x2F;huggingface.co&#x2F;spaces&#x2F;TabbyML&#x2F;tabby</a>.<p>Tabby is built on top of the popular Hugging Face Transformers &#x2F; Triton FasterTransformer backend and is designed to be self-hosted, providing you with complete control over your data and privacy. In Tabby&#x27;s next feature iteration, you can fine-tune the model to meet your project requirements.",wsxiaoys,627,2023-04-06,https://github.com/TabbyML/tabby,https://news.ycombinator.com/item?id=35470915,126,29
GitHub Copilot,10,hn_35657982,35657982,GitHub Copilot emits GPL code,,fortenforge,586,2023-04-21,https://codeium.com/blog/copilot-trains-on-gpl-codeium-does-not,https://news.ycombinator.com/item?id=35657982,370,30
GitHub Copilot,11,hn_44031432,44031432,GitHub Copilot Coding Agent,,net01,564,2025-05-19,https://github.blog/changelog/2025-05-19-github-copilot-coding-agent-in-public-preview/,https://news.ycombinator.com/item?id=44031432,357,30
GitHub Copilot,12,hn_42453341,42453341,GitHub Copilot is now available for free,,ksec,553,2024-12-18,https://github.com/features/copilot,https://news.ycombinator.com/item?id=42453341,384,30
GitHub Copilot,13,hn_47838508,47838508,Changes to GitHub Copilot individual plans,,zorrn,544,2026-04-20,https://github.blog/news-insights/company-news/changes-to-github-copilot-individual-plans/,https://news.ycombinator.com/item?id=47838508,230,30
GitHub Copilot,14,hn_29016506,29016506,GitHub Copilot available for JetBrains and Neovim,,orph,540,2021-10-27,https://github.com/github/copilot-docs/tree/main/docs,https://news.ycombinator.com/item?id=29016506,431,30
GitHub Copilot,15,hn_35264725,35264725,FauxPilot – An open-source GitHub Copilot server,,mlboss,499,2023-03-22,https://github.com/fauxpilot/fauxpilot,https://news.ycombinator.com/item?id=35264725,52,14
GitHub Copilot,16,hn_39168105,39168105,New GitHub Copilot research finds 'downward pressure on code quality',,ceejayoz,468,2024-01-28,https://visualstudiomagazine.com/articles/2024/01/25/copilot-research.aspx,https://news.ycombinator.com/item?id=39168105,322,30
GitHub Copilot,17,hn_32327711,32327711,FauxPilot – an attempt to build a locally hosted version of GitHub Copilot,,fniephaus,422,2022-08-03,https://github.com/moyix/fauxpilot,https://news.ycombinator.com/item?id=32327711,79,17
GitHub Copilot,18,hn_47521799,47521799,Updates to GitHub Copilot interaction data usage policy,,prefork,390,2026-03-25,https://github.blog/news-insights/company-news/updates-to-github-copilot-interaction-data-usage-policy/,https://news.ycombinator.com/item?id=47521799,166,30
GitHub Copilot,19,hn_27697884,27697884,"Don't encode POST bodies like GitHub Copilot, use URLSearchParams",,jaffathecake,387,2021-07-01,https://jakearchibald.com/2021/encoding-data-for-post-requests/,https://news.ycombinator.com/item?id=27697884,333,30
GitHub Copilot,20,hn_40919253,40919253,Judge dismisses DMCA copyright claim in GitHub Copilot suit,,samspenc,381,2024-07-09,https://www.theregister.com/2024/07/08/github_copilot_dmca/,https://news.ycombinator.com/item?id=40919253,445,27
