source,target,relationship,weight
0-bad-sectors,hn_47762901,commented_on_story,1
0xWTF,hn_44966856,commented_on_story,1
0xbadcafebee,hn_45163362,commented_on_story,1
0xbadcafebee,hn_47167931,commented_on_story,1
0xcb0,hn_43163011,commented_on_story,1
0xffff2,hn_47923357,commented_on_story,1
1123581321,hn_35152851,commented_on_story,1
14,hn_47167931,commented_on_story,1
18172828286177,hn_43448432,commented_on_story,1
1970-01-01,hn_46227422,commented_on_story,1
1970-01-01,hn_46734302,commented_on_story,1
1f60c,hn_46593022,commented_on_story,1
1gn15,hn_44864185,commented_on_story,1
2001zhaozhao,hn_47633396,commented_on_story,1
2197aG,hn_47664912,commented_on_story,1
2OEH8eoCRo0,hn_44031432,commented_on_story,1
37ef_ced3,hn_28191362,commented_on_story,1
3wolf,hn_28131745,commented_on_story,1
4ndrewl,hn_47923357,commented_on_story,1
6keZbCECT2uB,hn_47878905,commented_on_story,1
827a,hn_46227422,commented_on_story,1
8eye,hn_28191362,commented_on_story,1
8note,hn_35152851,commented_on_story,1
8thcross,hn_44742251,commented_on_story,1
999900000999,hn_43708025,commented_on_story,1
999900000999,hn_47923357,commented_on_story,1
AJRF,hn_47597085,commented_on_story,1
Abhishek_37,hn_44031432,commented_on_story,1
AceJohnny2,hn_46985151,commented_on_story,1
AdieuToLogic,hn_45163362,commented_on_story,1
AlchemistCamp,hn_35657982,commented_on_story,1
AlexCoventry,hn_43739037,commented_on_story,1
Alifatisk,hn_47633396,commented_on_story,1
AlwaysRock,hn_42239323,commented_on_story,1
Andebugulin,hn_47586778,commented_on_story,1
Andebugulin,hn_47597085,commented_on_story,1
AntwaneB,hn_44966856,posted_story,1
Aperocky,hn_47586778,commented_on_story,1
Aperocky,hn_47660925,commented_on_story,1
Arch485,hn_31211280,commented_on_story,1
ArdelleF,hn_31405976,posted_story,1
ArtWomb,hn_28131224,commented_on_story,1
Arubis,hn_44031432,commented_on_story,1
AshleysBrain,hn_27697884,commented_on_story,1
AstroBen,hn_46765460,commented_on_story,1
AtlasBarfed,hn_46734302,commented_on_story,1
BenFrantzDale,hn_33226515,commented_on_story,1
BinaryIgor,hn_45320431,commented_on_story,1
BiteCode_dev,hn_27676266,commented_on_story,1
BitsAndObjects,hn_47762901,commented_on_story,1
BoredPositron,hn_46765120,commented_on_story,1
BratishkaErik,hn_35261065,commented_on_story,1
Brendinooo,hn_45163362,commented_on_story,1
Brian_K_White,hn_40775127,commented_on_story,1
Brian_K_White,hn_42453341,commented_on_story,1
BrissyCoder,hn_47762901,commented_on_story,1
BuleBule,hn_46978710,commented_on_story,1
CGamesPlay,hn_46985151,commented_on_story,1
CRConrad,hn_43739037,commented_on_story,1
CapsAdmin,hn_31825742,commented_on_story,1
CapsAdmin,hn_33226515,commented_on_story,1
CashWasabi,hn_46542036,commented_on_story,1
Centigonal,hn_45722635,commented_on_story,1
CharlesW,hn_35574501,posted_story,1
CharlesW,hn_46985151,commented_on_story,1
ChiefTinkeer,hn_47278435,posted_story,1
ChilinAI,hn_47032993,posted_story,1
ChrisArchitect,hn_42453341,commented_on_story,1
ChrisArchitect,hn_43193018,commented_on_story,1
ChrisArchitect,hn_44006398,commented_on_story,1
ChrisArchitect,hn_44675557,commented_on_story,1
ChrisArchitect,hn_46977210,commented_on_story,1
ChrisMarshallNY,hn_43815033,commented_on_story,1
ChrisMarshallNY,hn_47282777,commented_on_story,1
CityOfThrowaway,hn_27676266,commented_on_story,1
CobrastanJorji,hn_33457063,commented_on_story,1
CodeWriter23,hn_46765460,commented_on_story,1
CompoundEyes,hn_44742251,commented_on_story,1
Copenjin,hn_43163011,commented_on_story,1
Cort3z,hn_33457063,commented_on_story,1
CraigJPerry,hn_47923357,commented_on_story,1
CrankyBear,hn_44675557,posted_story,1
CrzyLngPwd,hn_43448432,commented_on_story,1
CrzyLngPwd,hn_47664912,commented_on_story,1
CrzyLngPwd,hn_47762901,commented_on_story,1
DanHulton,hn_35470915,commented_on_story,1
Daniel_Van_Zant,hn_43163011,commented_on_story,1
Dansvidania,hn_46227422,commented_on_story,1
DavidPP,hn_43410866,commented_on_story,1
DavidSJ,hn_31211280,commented_on_story,1
DeathArrow,hn_35152851,commented_on_story,1
Deathmax,hn_27676266,commented_on_story,1
Deukhoofd,hn_47521799,commented_on_story,1
DidYaWipe,hn_44302870,commented_on_story,1
Doctor-R,hn_39853123,commented_on_story,1
Double_a_92,hn_35152851,commented_on_story,2
Dowwie,hn_46810282,commented_on_story,1
DrNosferatu,hn_45163362,commented_on_story,1
Dwedit,hn_35657982,commented_on_story,1
Dwedit,hn_46985151,commented_on_story,1
EagnaIonat,hn_47006615,commented_on_story,1
EastLondonCoder,hn_47106686,commented_on_story,1
EcommerceFlow,hn_44940089,commented_on_story,1
Elbouyave,hn_43410866,commented_on_story,1
Eldodi,hn_47768133,commented_on_story,1
EmeraldSky,hn_47912500,commented_on_story,1
Entinel,hn_35657982,commented_on_story,1
Etheryte,hn_43448432,commented_on_story,1
Flux159,hn_46593022,commented_on_story,1
Fr0styMatt88,hn_47664912,commented_on_story,1
FrankWilhoit,hn_47664912,commented_on_story,1
Frannky,hn_47106686,commented_on_story,1
FunnyLookinHat,hn_27676266,commented_on_story,1
Galanwe,hn_45416228,commented_on_story,1
Garlef,hn_47762901,commented_on_story,1
GartzenDeHaes,hn_35470915,commented_on_story,1
GistNoesis,hn_28131745,commented_on_story,1
GistNoesis,hn_47762901,commented_on_story,1
GistNoesis,hn_48037128,commented_on_story,1
GolDDranks,hn_46765460,commented_on_story,1
HaQT11,hn_43068027,commented_on_story,1
Hamcha,hn_31825742,commented_on_story,1
Hamuko,hn_27687450,commented_on_story,1
HarHarVeryFunny,hn_45320431,commented_on_story,1
HeytalePazguato,hn_47586778,commented_on_story,1
Hippocrates,hn_43448432,commented_on_story,1
IceWreck,hn_33457063,commented_on_story,1
Ilaurens,hn_47923357,commented_on_story,1
Imnimo,hn_33457063,commented_on_story,1
Imnimo,hn_46593022,commented_on_story,1
Incipient,hn_47838508,commented_on_story,1
Irishsteve,hn_19309959,posted_story,1
IshKebab,hn_46810282,commented_on_story,1
JR1427,hn_44042070,commented_on_story,1
JSR_FDED,hn_47006615,commented_on_story,1
J_Shelby_J,hn_44780878,commented_on_story,1
JanneVee,hn_47006615,commented_on_story,1
Jet_Xu,hn_42183760,posted_story,1
JohnFen,hn_43462171,commented_on_story,1
JoostBoer,hn_47597085,commented_on_story,1
JoshTriplett,hn_43193018,commented_on_story,1
Jotalea,hn_44493503,commented_on_story,1
