source,target,relationship,weight
user_0-_-0,hn_28402544,commented_on_story,1
user_0-bad-sectors,hn_47762901,commented_on_story,1
user_05,hn_44542880,commented_on_story,1
user_0x696C6961,hn_43735550,commented_on_story,1
user_0xWTF,hn_44966856,commented_on_story,1
user_0x_rs,hn_47854477,commented_on_story,1
user_0xbadcafebee,hn_44713757,commented_on_story,1
user_0xbadcafebee,hn_45163362,commented_on_story,1
user_0xbadcafebee,hn_47167931,commented_on_story,1
user_0xbadcafebee,hn_47932028,commented_on_story,1
user_0xcb0,hn_43163011,commented_on_story,1
user_0xffff2,hn_47923357,commented_on_story,1
user_1123581321,hn_35152851,commented_on_story,1
user_127,hn_44713757,commented_on_story,1
user_14,hn_47167931,commented_on_story,1
user_18172828286177,hn_43448432,commented_on_story,1
user_1970-01-01,hn_43773977,commented_on_story,1
user_1970-01-01,hn_46227422,commented_on_story,1
user_1970-01-01,hn_46734302,commented_on_story,1
user_1f60c,hn_46593022,commented_on_story,1
user_1gn15,hn_44864185,commented_on_story,1
user_1qaboutecs,hn_47932028,commented_on_story,1
user_2001zhaozhao,hn_47633396,commented_on_story,1
user_2001zhaozhao,hn_47854477,commented_on_story,1
user_2024user,hn_41563958,commented_on_story,1
user_2197aG,hn_47664912,commented_on_story,1
user_2OEH8eoCRo0,hn_44031432,commented_on_story,1
user_37ef_ced3,hn_28191362,commented_on_story,1
user_3wolf,hn_28131745,commented_on_story,1
user_4ndrewl,hn_47923357,commented_on_story,1
user_650,hn_47240736,commented_on_story,1
user_6keZbCECT2uB,hn_47878905,commented_on_story,1
user_7thpower,hn_40200081,commented_on_story,1
user_827a,hn_46227422,commented_on_story,1
user_8eye,hn_28191362,commented_on_story,1
user_8note,hn_35152851,commented_on_story,1
user_8thcross,hn_44742251,commented_on_story,1
user_999900000999,hn_43708025,commented_on_story,1
user_999900000999,hn_47923357,commented_on_story,1
user_999900000999,hn_48002136,commented_on_story,1
user_9dev,hn_29920035,commented_on_story,1
user_ACCount36,hn_44542880,commented_on_story,1
user_AJRF,hn_47597085,commented_on_story,1
user_Abhishek_37,hn_44031432,commented_on_story,1
user_Accacin,hn_28046928,commented_on_story,1
user_AceJohnny2,hn_46985151,commented_on_story,1
user_AdieuToLogic,hn_45163362,commented_on_story,1
user_AlchemistCamp,hn_35657982,commented_on_story,1
user_AlexCoventry,hn_43739037,commented_on_story,1
user_AlexandrB,hn_47932028,commented_on_story,1
user_AlienRobot,hn_44512368,commented_on_story,1
user_Alifatisk,hn_47633396,commented_on_story,1
user_AlwaysRock,hn_42239323,commented_on_story,1
user_Analemma_,hn_44512368,commented_on_story,1
user_Andebugulin,hn_47586778,commented_on_story,1
user_Andebugulin,hn_47597085,commented_on_story,1
user_AndyNemmity,hn_47495527,commented_on_story,1
user_Animats,hn_28402544,commented_on_story,1
user_Anonasty,hn_47854477,commented_on_story,1
user_Aperocky,hn_47586778,commented_on_story,1
user_Aperocky,hn_47660925,commented_on_story,1
user_Arch485,hn_31211280,commented_on_story,1
user_ArchieScrivener,hn_47622436,commented_on_story,1
user_Areibman,hn_35083093,commented_on_story,1
user_ArtWomb,hn_28131224,commented_on_story,1
user_Arubis,hn_44031432,commented_on_story,1
user_AshleysBrain,hn_27697884,commented_on_story,1
user_AstroBen,hn_46765460,commented_on_story,1
user_AtlasBarfed,hn_46734302,commented_on_story,1
user_AugustoCAS,hn_47495527,commented_on_story,1
user_Aurornis,hn_44542880,commented_on_story,1
user_AutumnsGarden,hn_46292365,commented_on_story,1
user_B480FA8D,hn_46549823,commented_on_story,1
user_BadBadJellyBean,hn_47932028,commented_on_story,1
user_BenFrantzDale,hn_33226515,commented_on_story,1
user_BinaryIgor,hn_45053764,commented_on_story,1
user_BinaryIgor,hn_45320431,commented_on_story,1
user_BiteCode_dev,hn_27676266,commented_on_story,1
user_BitsAndObjects,hn_47762901,commented_on_story,1
user_Bjorkbat,hn_40200081,commented_on_story,1
user_BoorishBears,hn_41563958,commented_on_story,1
user_Borealid,hn_47622436,commented_on_story,1
user_BoredPositron,hn_46765120,commented_on_story,1
user_BrandiATMuhkuh,hn_43613194,commented_on_story,1
user_BratishkaErik,hn_35261065,commented_on_story,1
user_Brendinooo,hn_45163362,commented_on_story,1
user_Brian_K_White,hn_40775127,commented_on_story,1
user_Brian_K_White,hn_42453341,commented_on_story,1
user_Bridged7756,hn_47240736,commented_on_story,1
user_BrissyCoder,hn_47762901,commented_on_story,1
user_BuleBule,hn_46978710,commented_on_story,1
user_BulgarianIdiot,hn_28046928,commented_on_story,1
user_CGamesPlay,hn_46985151,commented_on_story,1
user_COMMENT___,hn_28402544,commented_on_story,1
user_CRConrad,hn_43739037,commented_on_story,1
user_CapsAdmin,hn_31825742,commented_on_story,1
user_CapsAdmin,hn_33226515,commented_on_story,1
user_CashWasabi,hn_46542036,commented_on_story,1
user_Centigonal,hn_45722635,commented_on_story,1
user_CharlesW,hn_46985151,commented_on_story,1
user_ChaseRensberger,hn_46549823,commented_on_story,1
user_ChrisArchitect,hn_42453341,commented_on_story,1
user_ChrisArchitect,hn_43193018,commented_on_story,1
user_ChrisArchitect,hn_44006398,commented_on_story,1
user_ChrisArchitect,hn_44675557,commented_on_story,1
user_ChrisArchitect,hn_46977210,commented_on_story,1
user_ChrisArchitect,hn_48003718,commented_on_story,1
user_ChrisMarshallNY,hn_43815033,commented_on_story,1
user_ChrisMarshallNY,hn_45053764,commented_on_story,1
user_ChrisMarshallNY,hn_47282777,commented_on_story,1
user_Cilvic,hn_40200081,commented_on_story,1
user_CityOfThrowaway,hn_27676266,commented_on_story,1
user_Clueed,hn_47169757,commented_on_story,1
user_ClumsyPilot,hn_27736650,commented_on_story,1
user_CobrastanJorji,hn_33457063,commented_on_story,1
user_CodeWriter23,hn_46765460,commented_on_story,1
user_CompoundEyes,hn_44742251,commented_on_story,1
user_Copenjin,hn_43163011,commented_on_story,1
