user,pagerank,in_degree_centrality,betweenness,in_degree,out_degree,sentiment_label,dominant_topic,avg_sentiment,total_likes
@JeffSu,0.007072971595128798,0.012566371681415929,0.0,71,127,positive,unknown,0.4559239130434783,369
@devforgehq,0.006738763793887811,0.011858407079646019,0.0001431210459498069,67,3,positive,productivity,0.11578,431
@jamesp9304,0.004937532083604175,0.008849557522123894,0.0,50,0,negative,cost,-0.836,97
@Fireship,0.004823856985180112,0.008672566371681416,0.0,49,0,positive,reliability,0.471025,539
@saumay-z1,0.002925127155185018,0.00495575221238938,0.0,28,0,neutral,productivity,0.0,1235
@_Digital_Dreams_,0.0028750348434847767,0.005309734513274336,0.0,30,0,neutral,reliability,0.0,83
@Developete,0.0028305545564966525,0.004778761061946903,0.00017823871000230583,27,10,positive,job_displacement,0.7735454545454545,37
@AuroraMarinii,0.002686528010598899,0.004778761061946903,0.0,27,0,negative,reliability,-0.22431428571428572,112
@EhteshamShahzad,0.0025912368603607534,0.00495575221238938,0.0,28,0,neutral,productivity,0.0,278
@dougsholly9323,0.002533089403727472,0.0038938053097345134,0.0,22,0,negative,productivity,-0.15669285714285713,482
@taylorgledhill,0.0024042013187250554,0.004247787610619469,0.0,24,0,neutral,cost,0.0,636
@MightyKibbles96,0.0020162038639338978,0.00017699115044247788,0.0,1,0,positive,productivity,0.7905,1
@jakubkonopa5840,0.0020162038639338978,0.00017699115044247788,0.0,1,0,positive,job_displacement,0.9038,1
@AnonymousAnonymous-nr8su,0.0020162038639338978,0.00017699115044247788,0.0,1,0,positive,unknown,0.3612,0
@JasonWhittle1,0.0019332616252539351,0.0033628318584070795,0.0,19,0,negative,productivity,-0.0803,394
@saitamathecoder1386,0.0019089026755916359,0.0037168141592920354,0.0,21,0,positive,job_displacement,0.50005,387
@Mr_Sandeep_Chaudhari,0.0018683044261544703,0.0033628318584070795,0.0,19,0,positive,productivity,0.6369,525
@TheCodingSloth,0.0018666804961769837,0.0035398230088495575,0.0,20,0,negative,job_displacement,-0.6908,1092
@ConservativeWatchParty,0.001819586526829872,0.003185840707964602,0.0,18,0,negative,productivity,-0.19588,213
@sembl4nce1,0.0017708686275052733,0.003185840707964602,0.0,18,0,negative,job_displacement,-0.125,388
@JetBrainsTV,0.0016497080010258998,0.003008849557522124,0.0,17,0,positive,job_displacement,0.9492,348
@brewnotbombs_5097,0.001641323304301227,0.003008849557522124,0.0,17,0,positive,job_displacement,0.5267,446
@drummerlovesthis,0.0016310920873370105,0.003185840707964602,1.2589351264103387e-05,18,1,negative,productivity,-0.18056666666666665,365
@mikasa3d,0.001602781429316732,0.0019469026548672567,0.0,11,0,neutral,job_displacement,0.0,252
@RoseyCRSL,0.0014958877371646624,0.00017699115044247788,0.0,1,0,positive,reliability,0.3612,0
@futurepedia_io,0.001478561231557682,0.00247787610619469,0.0,14,0,neutral,job_displacement,0.0,133
@budihartonohoo,0.001478561231557682,0.00247787610619469,0.0,14,0,positive,reliability,0.8402,12
@BloodBunn,0.001456104647391751,0.0023008849557522126,0.0,13,0,positive,job_displacement,0.2287,44
@ritamsarkar3156,0.0014542022818953833,0.002831858407079646,0.0,16,0,negative,reliability,-0.13295,366
@Adeltraut,0.0014379629821205167,0.002831858407079646,0.0,16,0,positive,reliability,0.5927,121
@_ToddT,0.0014049191945193467,0.001415929203539823,0.0,8,0,neutral,productivity,-0.0369,45
@HarperCarrollAI,0.0013811254329084853,0.0023008849557522126,0.0,13,18,positive,job_displacement,0.5150142857142858,117
@vimallama5981,0.0013436564813218792,0.00247787610619469,0.0,14,0,neutral,job_displacement,0.0,69
@leo-g3j2l,0.0013222751599224292,0.0023008849557522126,3.909324866221578e-05,13,4,neutral,productivity,-0.0028882352941176324,84
@TraversyMedia,0.001279783954601722,0.001592920353982301,0.0002226327381441441,9,22,positive,job_displacement,0.24809310344827587,151
@lukaloehr,0.001276390007099221,0.0007079646017699115,0.0,4,1,positive,job_displacement,0.4879,88
@CodeWithRush,0.0012674503344844222,0.0023008849557522126,0.0,13,0,positive,job_displacement,0.40080000000000005,169
@gtamy5544,0.001207320254513975,0.00017699115044247788,0.0,1,0,negative,reliability,-0.6597,3
@arjun220,0.001170014535835225,0.0021238938053097347,0.0,12,0,positive,job_displacement,0.6249,172
@YaronLavi,0.0011638798740642685,0.001238938053097345,0.0,7,0,negative,productivity,-0.2748,79
@VictorAithen,0.001140761391128059,0.0005309734513274337,0.0,3,0,neutral,reliability,0.0,2
@TrayHardPlay,0.001137535936285493,0.0019469026548672567,0.0,11,0,neutral,cost,0.0258,120
@akiru300,0.0011131769866231937,0.0019469026548672567,0.0,11,1,positive,job_displacement,0.070925,214
@msschubi,0.0011113056046093662,0.0021238938053097347,0.0,12,0,positive,productivity,0.2717,321
@garageboyz2634,0.0010969376868483272,0.0021238938053097347,0.0,12,0,neutral,productivity,0.0,141
@AusSkiller,0.0010888180369608943,0.0017699115044247787,0.0,10,0,positive,productivity,0.6314666666666667,121
@shubhamdevkota9651,0.0010675883851491545,0.0021238938053097347,0.0,12,1,positive,reliability,0.26595,34
@AbdelmoezBoucetta,0.0010508790486874176,0.001238938053097345,0.0,7,0,neutral,productivity,0.0,56
@hudsonkanizawa,0.0010439149832874247,0.0017699115044247787,0.0,10,0,neutral,reliability,0.0,46
@aashwinsharma1859,0.0010413683813005415,0.0017699115044247787,0.0,10,0,neutral,reliability,0.0,29
@danielfarmer7372,0.001033150321930387,0.0017699115044247787,0.0,10,0,positive,job_displacement,0.7779,50
@kingjr3310,0.00102386083786143,0.0017699115044247787,0.0,10,0,neutral,productivity,0.0,18
@SigmaScorpion,0.0009936110151370643,0.001592920353982301,0.0,9,0,positive,job_displacement,0.7003,40
@Paogrin,0.0009913822383116975,0.001592920353982301,0.0,9,0,positive,job_displacement,0.128,50
@danielmontilla5915,0.0009913822383116975,0.001592920353982301,0.0,9,0,positive,productivity,0.6249,180
@kanakgfgaming,0.0009913822383116975,0.001592920353982301,0.0,9,0,positive,productivity,0.4841666666666667,17
@w3ryfrate535,0.0009751429385368316,0.001592920353982301,0.0,9,0,positive,productivity,0.21075,11
@evilyoshimitsu,0.000950046234670095,0.001592920353982301,0.0,9,0,negative,job_displacement,-0.3182,12
@nufh,0.000942664338987099,0.001592920353982301,0.0,9,0,positive,productivity,0.1806,8
@thekinggamer21,0.0009239298631937959,0.001592920353982301,0.0,9,0,positive,job_displacement,0.4019,207
@MoeLueker,0.0009202077548211678,0.001238938053097345,0.0,7,0,positive,productivity,0.4404,9
@grimaldushelbrecht8811,0.0009090712673404905,0.0019469026548672567,0.0,11,0,negative,job_displacement,-0.40449999999999997,53
@TinaHuang1,0.0008939464396625005,0.001415929203539823,0.0,8,0,positive,job_displacement,0.5106,72
@DennisBradfordPhD,0.0008939464396625005,0.001415929203539823,0.0,8,0,negative,job_displacement,-0.7463,42
@ishanmalithgunawardane8391,0.0008777071398876345,0.0019469026548672567,0.0,11,0,positive,cost,0.6476,57
@saluran1733,0.0008777071398876345,0.0017699115044247787,0.0,10,0,negative,job_displacement,-0.296,54
@abhisheksinha3111,0.0008706316231960071,0.0007079646017699115,0.0,4,0,positive,job_displacement,0.3612,40
@edmiller6864,0.0008652725711055044,0.0010619469026548673,0.0,6,0,positive,productivity,0.75,8
@SimonNgai-d3u,0.0008612633513870697,0.001592920353982301,0.0,9,0,positive,job_displacement,0.6124,142
@wartem,0.0008527917691396132,0.0017699115044247787,0.0,10,0,positive,job_displacement,0.23656666666666668,33
@Swanzo,0.0008452285403379021,0.001415929203539823,0.0,8,0,positive,job_displacement,0.1117,33
@florijnterstal6590,0.0008452285403379021,0.001415929203539823,0.0,8,0,neutral,reliability,0.0,137
@baalifathi7780,0.0008452285403379021,0.001415929203539823,0.0,8,0,neutral,unknown,0.0,21
@evolgenius1150,0.0008452285403379021,0.001415929203539823,0.0,8,1,negative,productivity,-0.49429999999999996,70
@NotTheSystem,0.0008431986278660439,0.0019469026548672567,0.0,11,0,positive,cost,0.22593333333333332,20
@growth.over.perfection,0.0008303814181574436,0.00017699115044247788,0.0,1,0,positive,productivity,0.4588,2
@JezzGT,0.0008302574842272814,0.001238938053097345,0.0,7,0,positive,job_displacement,0.2732,33
@Alfalfaprime,0.0008208695906756028,0.001415929203539823,1.0601558959244957e-05,8,2,positive,job_displacement,0.0856,35
@snyderkr0822,0.0008152864281166606,0.0010619469026548673,0.0,6,0,positive,job_displacement,0.7852,66
@mxz2024,0.0008127499407881698,0.001415929203539823,0.0,8,0,positive,job_displacement,0.6330749999999999,48
@BamboBarak,0.0008127499407881698,0.001415929203539823,0.0,8,0,negative,productivity,-0.4767,31
@SuperRiozaki,0.0007982027483897786,0.001415929203539823,0.0,8,0,positive,job_displacement,0.6808,22
@MateuszSzczepanek-nq7fw,0.0007965106410133036,0.001238938053097345,0.0,7,0,neutral,productivity,0.0,61
@TheTorchBearer-hk8ou,0.0007965106410133036,0.001238938053097345,0.0,7,0,neutral,job_displacement,0.0,11
@Brian_PM,0.0007965106410133036,0.001415929203539823,0.0,8,0,positive,productivity,0.8725499999999999,86
@olozmada,0.0007965106410133036,0.001238938053097345,0.0,7,0,positive,job_displacement,0.3592,26
@CosmicReef,0.0007965106410133036,0.001238938053097345,0.0,7,0,positive,job_displacement,0.22795,28
@fromagetriste,0.0007965106410133036,0.001238938053097345,0.0,7,0,positive,productivity,0.19675,169
@TechWithTim,0.0007965106410133036,0.001238938053097345,0.0,7,11,positive,job_displacement,0.26285,51
@SailingInconSeavable,0.0007965106410133035,0.001592920353982301,0.0,9,0,positive,job_displacement,0.6908,26
@odairsilva10,0.0007965106410133035,0.001592920353982301,0.0,9,0,positive,productivity,0.0989,353
@MoElwaan,0.0007890251129579932,0.001238938053097345,0.0,7,0,negative,reliability,-0.4314,51
@smokinglife8980,0.0007860710911580325,0.001592920353982301,0.0,9,0,positive,productivity,0.9354,200
@rileybrownai,0.0007815395849026829,0.0010619469026548673,0.0,6,13,positive,job_displacement,0.3230625,77
@Preeti-l9k,0.000764112550803369,0.001592920353982301,0.0,9,0,positive,productivity,0.2718,774
@scotthancock5994,0.0007477927416887051,0.001238938053097345,0.0,7,0,positive,reliability,0.10165000000000002,9
@echabbewal,0.0007409224759544057,0.001415929203539823,0.0,8,0,positive,job_displacement,0.4063,100
@ratnadeepsaha7675,0.0007403072136333947,0.001238938053097345,0.0,7,0,positive,job_displacement,0.5106,7
@rudeicious,0.0007222947207494729,0.0008849557522123894,0.0,5,0,neutral,reliability,0.0,5
@betanc.es7962,0.0007085247028808662,0.0005309734513274337,0.0,3,0,positive,cost,0.4404,5
@SuperSimpleDev,0.0006990748423641066,0.0010619469026548673,0.0,6,10,positive,job_displacement,0.6098076923076923,53
@tomasgutierrez6954,0.0006990748423641066,0.0010619469026548673,0.0,6,0,positive,productivity,0.1058,49
@ethanradd,0.0006990748423641066,0.0010619469026548673,0.0,6,0,negative,job_displacement,-0.6249,183
@PushkarSingh-hb4qq,0.0006990748423641066,0.0010619469026548673,0.0,6,0,positive,productivity,0.25,316
@ThePrimeTimeagen,0.0006990748423641066,0.0010619469026548673,0.0,6,0,positive,reliability,0.7887,38
@circusfreakRob,0.0006990748423641066,0.0010619469026548673,0.0,6,0,positive,productivity,0.7579,566
@bgdn_ai,0.0006990748423641066,0.0010619469026548673,0.0,6,0,positive,productivity,0.9417,55
@techieryan1963,0.000689671161949815,0.0010619469026548673,0.0,6,0,negative,job_displacement,-0.6385,25
@kvickart,0.0006828355425892404,0.001238938053097345,0.0,7,1,positive,job_displacement,0.23650000000000002,193
@andywest5773,0.0006811996327836519,0.0008849557522123894,5.3007794796224785e-06,5,1,negative,job_displacement,-0.096075,53
@k.ryashwanthreddy3265,0.0006772523800302981,0.0010619469026548673,0.0,6,0,positive,productivity,0.2732,27
@Shizzymynizzy,0.0006648906952341627,0.0005309734513274337,0.0,3,0,positive,reliability,0.4767,0
@chillmarko477,0.0006569842387942561,0.0005309734513274337,0.0,3,0,positive,job_displacement,0.7319,47
@roberthiemstra8726,0.0006522593085358762,0.0008849557522123894,0.0,5,0,negative,productivity,-0.4767,0
@JeremyJackson111,0.0006503569430395081,0.0010619469026548673,0.0,6,0,negative,reliability,-0.6597,99
@burningheartgaming2405,0.0006503569430395081,0.0010619469026548673,0.0,6,0,positive,job_displacement,0.11315,157
@crinklyink,0.0006503569430395081,0.0010619469026548673,0.0,6,0,positive,unknown,0.233025,8
@cclementson1986,0.000634117643264642,0.0010619469026548673,0.0,6,0,positive,job_displacement,0.2023,118
@afflulifestyle1784,0.0006324164624927957,0.0007079646017699115,0.0,4,0,positive,productivity,0.6486,8
@SaidJama-u2d,0.0006266321152093317,0.0010619469026548673,0.0,6,0,positive,job_displacement,0.5106,3
enono,0.000621126203444749,0.0010619469026548673,0.0,6,0,negative,productivity,-0.34,0
@GijsDeMunck,0.0006178783434897759,0.0010619469026548673,0.0,6,0,positive,reliability,0.5106,61
@ksaravanakumar8042,0.0006178783434897758,0.0010619469026548673,0.0,6,0,positive,job_displacement,0.8485,14
@dgitalnarrative,0.0006108017928858626,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.31756666666666666,4
@giovannifrancesco3344,0.0006104754380545736,0.00017699115044247788,0.0,1,0,positive,reliability,0.6767,6
@antonischaralambous3351,0.0006038678205402765,0.0008849557522123894,0.0,5,0,negative,job_displacement,-0.34,9
@robertf57,0.0006016390437149097,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.22085,141
@elarrieux_,0.0006016390437149097,0.0008849557522123894,0.0,5,0,positive,cost,0.6369,16
@spendilpa1559,0.0006016390437149097,0.0008849557522123894,0.0,5,0,negative,job_displacement,-0.3182,37
@rozodruEVE,0.0006016390437149097,0.0008849557522123894,0.0,5,0,neutral,job_displacement,0.0,233
@lokeshnegi5051,0.0006016390437149097,0.0010619469026548673,0.0,6,0,positive,productivity,0.43590000000000007,21
@Soonseverino,0.0006016390437149097,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.28963333333333335,111
@ristopaasivirta9770,0.0006016390437149097,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.4939,101
@adamsonvispo,0.0006016390437149097,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.5106,268
@finisfine,0.0006016390437149097,0.0008849557522123894,0.0,5,0,neutral,productivity,0.0,18
@TiaoMW,0.0006016390437149097,0.0008849557522123894,0.0,5,0,negative,productivity,-0.3612,14
@Gamingworld-hg1cx,0.0006016390437149096,0.0010619469026548673,0.0,6,0,positive,productivity,0.4404,35
@sergeleinweber9147,0.0005987927674385829,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.7001999999999999,3
@shresthashreya5418,0.0005886476038950167,0.0010619469026548673,0.0,6,0,negative,productivity,-0.2411,32
@gobettsie8964,0.0005853997439400435,0.0010619469026548673,0.0,6,1,positive,reliability,0.1601,8
@nexttt__,0.0005853997439400435,0.0010619469026548673,0.0,6,0,positive,reliability,0.39835,19
@bitkillerjones,0.0005784499282341346,0.0010619469026548673,0.0,6,0,positive,job_displacement,0.15170000000000003,66
@ihandle24,0.0005756561640751237,0.0010619469026548673,0.0,6,0,neutral,job_displacement,0.0232,41
@DreamCarDiaries2.0,0.0005716969314936681,0.0005309734513274337,0.0,3,0,positive,job_displacement,0.8192,10
@EssDubz,0.0005689559554394787,0.0010619469026548673,0.0,6,0,positive,reliability,0.47550000000000003,20
@Brice21,0.0005618799217917084,0.00035398230088495576,0.0,2,0,positive,job_displacement,0.2732,1
@ali6580-t9f,0.0005567258753830474,0.00035398230088495576,0.0,2,0,positive,productivity,0.2263,2
@techwithflex,0.0005546132517667862,0.0008849557522123894,0.0,5,0,neutral,job_displacement,0.0,70
@michaeltse321,0.0005529211443903112,0.0008849557522123894,0.0,5,0,negative,job_displacement,-0.07243333333333335,38
@scififan698,0.0005529211443903112,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.6249,16
@ramikilany9279,0.0005529211443903112,0.0008849557522123894,0.0,5,0,positive,reliability,0.7783,15
@sam9s,0.0005529211443903112,0.0008849557522123894,0.0,5,0,positive,reliability,0.32685,33
@rein556,0.0005529211443903112,0.0008849557522123894,3.312987174764049e-06,5,1,positive,productivity,0.148,145
@saurabhdadhich5485,0.0005529211443903112,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.401,71
@tariqimran3743,0.0005529211443903112,0.0008849557522123894,0.0,5,0,negative,productivity,-0.296,61
@emperorpingusmathchannel5365,0.0005529211443903111,0.0008849557522123894,0.0,5,0,positive,productivity,0.8367,29
@factorfitness3713,0.0005529211443903111,0.0008849557522123894,0.0,5,0,neutral,productivity,0.02930000000000002,125
@NickBarratt110,0.0005498125021947786,0.0010619469026548673,0.0,6,0,positive,job_displacement,0.22575,6
@tiger-wt8dm,0.0005480493544578512,0.0010619469026548673,0.0,6,0,positive,job_displacement,0.2263,32
@nivoset,0.0005355336472776587,0.0005309734513274337,0.0,3,0,positive,productivity,0.6249,9
@auhvocals,0.0005299033223782517,0.0008849557522123894,0.0,5,0,positive,cost,0.34,31
@totomomo18,0.0005285621947280118,0.0008849557522123894,0.0,5,0,positive,productivity,0.49565000000000003,43
@Aubstract,0.0005266908127141843,0.0008849557522123894,0.0,5,0,neutral,productivity,0.0,74
@lukemelas,0.0005265322822561536,0.0010619469026548673,0.0,6,0,positive,cost,0.9827,114
@KokumBalani,0.0005173339026450463,0.0007079646017699115,0.0,4,0,neutral,job_displacement,-0.0274,12
@MalikRobot333,0.0005092142527576133,0.0008849557522123894,0.0,5,0,neutral,productivity,0.0,24
@Sm1Ling_man,0.000508291893729071,0.0008849557522123894,0.0,5,0,positive,productivity,0.56945,21
@Tony-dp1rl,0.0005047902077081777,0.0008849557522123894,0.0,5,0,positive,productivity,0.1415625,29
@zenvanriel,0.0005042032450657126,0.0007079646017699115,0.00010336519985263833,4,37,positive,job_displacement,0.4974205128205128,22
@Motsto,0.0005042032450657126,0.0007079646017699115,0.0,4,0,neutral,reliability,0.0,325
@ivoreda,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,job_displacement,0.48793333333333333,47
@zdrux,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,reliability,0.30283333333333334,195
@perriceitconsulting718,0.0005042032450657126,0.0007079646017699115,0.0,4,1,positive,productivity,0.1806,73
@mikeynocode,0.0005042032450657126,0.0007079646017699115,0.0,4,20,positive,productivity,0.30141666666666667,33
@ChrisSattinger,0.0005042032450657126,0.0007079646017699115,0.0,4,0,negative,reliability,-0.296,49
@rich_in_paradise,0.0005042032450657126,0.0007079646017699115,0.0,4,0,neutral,cost,0.0,9
@txtasosxt,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,job_displacement,0.4329,4
@potatoesareking2026,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,reliability,0.4767,45
@MrSoloDev,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,job_displacement,0.11315,7
@itsMeehow,0.0005042032450657126,0.0008849557522123894,0.0,5,0,positive,job_displacement,0.8181333333333334,140
@JagdishOnYT,0.0005042032450657126,0.0007079646017699115,0.0,4,0,neutral,reliability,0.0,173
@SimZoneStudios,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,cost,0.6124,24
@hypershadow570,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,job_displacement,0.08040000000000003,4
@minerunss,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,job_displacement,0.0772,2
@George........,0.0005042032450657126,0.0008849557522123894,0.0,5,0,neutral,cost,0.0,96
@2A9D8F,0.0005042032450657126,0.0008849557522123894,0.0,5,0,positive,cost,0.5423,49
@fatihcambek6609,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,productivity,0.64985,2
@alexd3206,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,productivity,0.6739,26
@josephvasconcelos5943,0.0005042032450657126,0.0007079646017699115,0.0,4,0,positive,job_displacement,0.6171500000000001,27
