community_id,size,dominant_sentiment,dominant_topic,avg_sentiment_score,positive_pct,negative_pct
62,204,positive,productivity,0.4933,76.5,5.4
130,181,positive,productivity,0.4456,76.8,7.7
13,97,positive,job_displacement,0.1545,47.4,18.6
79,94,positive,job_displacement,0.0885,45.7,23.4
196,87,positive,productivity,0.284,66.7,11.5
55,86,positive,job_displacement,0.1567,48.8,18.6
46,86,positive,job_displacement,0.1839,54.7,18.6
31,82,positive,job_displacement,0.3117,62.2,6.1
173,79,positive,job_displacement,0.1107,54.4,26.6
10,78,neutral,reliability,0.1436,41.0,10.3
91,69,positive,productivity,0.1074,46.4,34.8
43,68,positive,productivity,0.1286,44.1,16.2
4,62,positive,job_displacement,0.1322,46.8,22.6
0,60,positive,reliability,0.1458,43.3,16.7
74,59,positive,job_displacement,0.2042,52.5,18.6
168,55,positive,job_displacement,0.422,72.7,5.5
99,55,positive,job_displacement,0.1395,49.1,23.6
303,55,positive,job_displacement,0.5809,87.3,5.5
154,55,positive,job_displacement,0.4161,74.5,9.1
26,54,positive,productivity,0.1824,53.7,18.5
12,53,positive,productivity,0.2161,67.9,22.6
124,52,positive,job_displacement,0.4357,76.9,13.5
548,52,positive,productivity,0.2084,59.6,25.0
83,51,negative,job_displacement,-0.01,37.3,41.2
132,51,positive,job_displacement,0.3358,72.5,15.7
60,46,positive,job_displacement,0.2646,63.0,8.7
63,45,positive,job_displacement,0.0472,37.8,33.3
158,45,positive,job_displacement,0.4843,82.2,4.4
177,44,positive,reliability,0.3269,63.6,13.6
128,43,positive,job_displacement,0.2528,62.8,16.3
220,43,positive,productivity,0.4453,81.4,4.7
90,41,positive,job_displacement,0.153,58.5,14.6
216,41,positive,job_displacement,0.4973,75.6,12.2
40,38,positive,productivity,0.0647,47.4,23.7
2,36,positive,job_displacement,0.1066,47.2,19.4
69,35,positive,productivity,0.1441,48.6,22.9
9,34,positive,job_displacement,0.3159,64.7,8.8
186,32,positive,productivity,0.1158,53.1,21.9
32,31,neutral,productivity,0.1092,32.3,6.5
44,30,positive,productivity,0.2487,63.3,10.0
75,29,positive,productivity,0.2747,62.1,27.6
59,26,neutral,productivity,0.1423,38.5,11.5
545,25,positive,productivity,0.1227,44.0,20.0
366,25,positive,job_displacement,0.3286,68.0,12.0
245,25,positive,productivity,0.2704,60.0,12.0
242,22,positive,job_displacement,0.0665,54.5,27.3
19,22,positive,productivity,0.2447,68.2,18.2
286,21,positive,productivity,0.3799,81.0,9.5
279,19,positive,job_displacement,0.1937,57.9,21.1
387,19,positive,job_displacement,0.2046,52.6,15.8
291,18,positive,productivity,0.2262,61.1,16.7
858,17,positive,job_displacement,0.5053,82.4,5.9
96,17,positive,productivity,0.1761,47.1,11.8
143,16,positive,productivity,0.2097,62.5,18.8
107,16,positive,productivity,0.2511,56.2,12.5
11,16,positive,job_displacement,0.2521,62.5,6.2
360,15,neutral,productivity,0.1834,33.3,6.7
150,15,positive,job_displacement,0.2584,66.7,20.0
155,15,positive,reliability,0.3661,73.3,6.7
258,15,positive,productivity,0.2858,66.7,20.0
58,15,positive,job_displacement,0.0284,40.0,26.7
137,15,positive,job_displacement,0.3386,66.7,6.7
134,15,positive,reliability,0.1916,53.3,20.0
202,14,positive,job_displacement,0.1229,64.3,14.3
273,14,positive,productivity,0.4289,71.4,7.1
136,13,neutral,reliability,0.1198,38.5,7.7
131,13,positive,job_displacement,0.2814,53.8,0.0
738,13,positive,job_displacement,0.6812,92.3,7.7
686,13,positive,job_displacement,0.3079,69.2,7.7
17,13,positive,productivity,0.1839,61.5,15.4
45,13,positive,productivity,0.1633,46.2,30.8
1,12,positive,productivity,0.4216,91.7,8.3
182,12,positive,productivity,0.4342,83.3,0.0
185,11,neutral,cost,0.2081,36.4,0.0
240,11,positive,productivity,0.2249,63.6,27.3
41,11,positive,job_displacement,0.2093,54.5,18.2
391,11,positive,job_displacement,0.3174,72.7,0.0
94,11,positive,productivity,0.2197,45.5,27.3
411,11,positive,productivity,0.3235,63.6,0.0
