source,target,weight
@0EEVV0,-PlkQno5q50,1
@0w784g,-PlkQno5q50,1
@123Handbuch,-PlkQno5q50,1
@Alx-je7oj,-PlkQno5q50,1
@BingleBangleBungle,-PlkQno5q50,1
@BlueBearOne,-PlkQno5q50,1
@Brandon-ob9rg,-PlkQno5q50,1
@Branon2764,-PlkQno5q50,1
@CallousCoder,-PlkQno5q50,1
@CokeLight-h4e,-PlkQno5q50,1
@Conficient,-PlkQno5q50,1
@CurrentYearDogma,-PlkQno5q50,1
@DSAD___DreW,-PlkQno5q50,1
@DevMeloy,-PlkQno5q50,1
@Deviantation,-PlkQno5q50,1
@Dhalin,-PlkQno5q50,1
@DuravantFoodmate,-PlkQno5q50,1
@ExplorersXRotmg,-PlkQno5q50,1
@ExtremePrejudice,-PlkQno5q50,1
@FUZASHIII,-PlkQno5q50,1
@FellowRoach,-PlkQno5q50,1
@Gregdanger2,-PlkQno5q50,1
@Henry_GamesX,-PlkQno5q50,1
@I.AM.Mr.A12,-PlkQno5q50,1
@IlithiophobiaKiller,-PlkQno5q50,1
@JJan953,-PlkQno5q50,1
@JacobSnover,-PlkQno5q50,1
@Jarniwan,-PlkQno5q50,1
@Justanormaluser2,-PlkQno5q50,1
@KaledKelevra,-PlkQno5q50,2
@KhorzooKhan-v7j,-PlkQno5q50,1
@KorentoInteractive,-PlkQno5q50,1
@LOCKSHADES,-PlkQno5q50,1
@La-FL-DS-MDFR,-PlkQno5q50,2
@MrEo89,-PlkQno5q50,1
@MrKornnugget,-PlkQno5q50,1
@MrMeltdown,-PlkQno5q50,1
@MustafaIbrahim10,-PlkQno5q50,1
@NilEoe,-PlkQno5q50,1
@NoahHornberger,-PlkQno5q50,1
@Optimus6128,-PlkQno5q50,1
@PP-ss3zf,-PlkQno5q50,1
@PakShuMan,-PlkQno5q50,1
@PasooriDev,-PlkQno5q50,1
@PedroS-nv1sl,-PlkQno5q50,1
@PineTechPro,-PlkQno5q50,1
@Practical-AF,-PlkQno5q50,1
@RobWence,-PlkQno5q50,1
@SerrNovik,-PlkQno5q50,1
@SinisterArtsBUBU,-PlkQno5q50,1
@SirotkaSlo,-PlkQno5q50,1
@Skubidu13,-PlkQno5q50,1
@SouIife,-PlkQno5q50,1
