videoId,title,channelTitle,collectedCommentCount,uniqueCommenters,averageCommentLength,viewCount,likeCount
-PlkQno5q50,GitHub Copilot is DONE #programmer #coder #softwareengineer #dev #webdev #ai #github #copilot,PGT,207,200,112.05797101449275,667662,11947
-Tz_FWVYgnM,Build Private Agentic AI Flows with LLMs for Data Privacy,IBM Technology,30,30,127.56666666666666,24437,806
-VTiqivKOB8,The Only AI Coding Tools Worth Learning in 2026,Tech With Tim,111,102,106.71171171171171,79536,1607
-yKALFS5ewY,"How to use agents, skills, and instructions in Copilot CLI | Tutorial for beginners",GitHub,14,14,83.28571428571429,49021,673
0e-Brv-gS9Q,A first look at the Codex app,OpenAI,317,276,81.23659305993691,104751,3065
1FiER-40zng,Full Guide - Build Your Own AI Second Brain with Claude Code,Cole Medin,131,60,167.90076335877862,74341,1540
1GVBRhDI5No,How the GitHub Copilot coding agent works | GitHub Checkout,GitHub,37,36,94.37837837837837,61587,700
1_rSrkXovOk,Vibe Coding with AI in 2025,Kai Lentit,200,198,69.005,2061162,37304
2aldTxnbNt0,Cursor 2.0 Tutorial for Beginners (Full Course),Riley Brown,225,211,132.93333333333334,309735,6830
3HVH2Iuplqo,Claude Code Tutorial for Beginners,Sabrina Ramonov 🍄,207,160,150.84057971014494,186623,3373
4CZ-8IRGzME,AI is *not* replacing software engineers 😅 #tech,Alberta Tech,234,220,123.80341880341881,249589,7776
4V5G3wtrmhg,I&#39;ve Changed My Opinion On DEVELOPERS Vibe Coding,Traversy Media,327,247,200.30886850152905,46948,2228
4kXxgpZo7lE,AI Coding Tools: The Productivity Trap Most Companies Miss,MIT Sloan Management Review,5,3,281.6,2040,0
5OWurmg41tI,What is Vibe Coding?,Matt Palmer,77,62,246.36363636363637,112742,1458
5TN6l7JGWvs,Build a Personal Assistant with GitHub Copilot SDK + Copilot CLI,GitHub,17,16,101.0,15406,446
5fhcklZe-qE,Everything You Need to Know About Coding with AI // NOT vibe coding,ForrestKnight,209,205,175.3684210526316,167837,5491
6q8joS_592k,Claude Code Tutorial for Beginners: Build App with AI (2026),Mikey No Code,81,78,87.23456790123457,252977,0
6wqmaYKmW1A,Github Copilot Can Now Review Your Code 🤯 #githubcopilot #webdeveloper #webdev #programmer #reactjs,Coding in Flow,11,7,70.72727272727273,84264,507
7OqJjAzYXGc,Will AI REPLACE Software Developers..?,Caleb Writes Code,73,63,150.63013698630138,26734,709
7t-a2r53prA,AI Coding Security: 101,Samuel Gregory,12,6,181.75,2182,110
81FbpXpfxTc,"AI Models as a Service: Powering Agentic AI, Privacy, &amp; RAG",IBM Technology,86,83,84.18604651162791,31434,1057
8hNcRChDrNk,The Codex app is now on Windows,OpenAI,205,171,81.38536585365854,59208,1363
8hyvYP5PCks,How to close pull requests faster with Copilot code review | GitHub Checkout,GitHub,7,5,76.14285714285714,5421,138
91B_v-wOaws,I Have Spent 500+ Hours Programming With AI. This Is what I learned,The Coding Sloth,249,224,230.4578313253012,572570,30466
91aH8jsG4cc,OpenAI just made your entire tech stack obsolete...,Fireship,221,218,64.36199095022624,1044810,31736
96jN2OCOfLs,Andrej Karpathy: From Vibe Coding to Agentic Engineering,Sequoia Capital,205,194,214.40975609756097,1045743,23054
AWFrosxcJxw,Github Copilot in Microsoft VS Code: The Ultimate AI-Powered Coding Assistant,Great Learning,2,2,52.5,1026,24
BDxRhhs36ns,Getting started with GitHub Copilot CLI | Tutorial for beginners,GitHub,44,37,70.4090909090909,44343,612
BEKc4P87XKo,"Agentic Engineering: Working With AI, Not Just Using It — Brendan O&#39;Leary",AI Engineer,32,29,178.53125,87478,2151
BF2k_fKuCVM,AI Agents explained in 3 steps,Jeff Su,242,210,71.18595041322314,618500,15849
Bc98jtvwkQ8,This is Why AI Could Replace Programmers,Nick Chapsas,298,244,303.09060402684565,49294,1881
Bgxsx8slDEA,Stop Using Claude Code Without an Agentic OS,Chase AI,150,130,189.37333333333333,128437,3636
Bs7sBbcwn60,I Built an Entire App with OpenAI&#39;s Codex and 8 AI Agent Employees,Greg Isenberg,228,189,137.5,222303,2638
C3uI06xOGSE,"Micro Agent, a New AI Coding Agent, in 60 Seconds",Steve (Builder.io),181,162,100.52486187845304,238328,12390
CST89O0Ecy8,GitHub Copilot Just Died,Kyle Cook from Web Dev Simplified,209,201,149.6555023923445,178800,6371
CklJLElBtNM,Simplest AI Agent Using Claude #ai #aiagent #aiagents #artificialintelligence,Nathan Hodgson,22,21,50.77272727272727,144869,3113
Ctpo_gsGQJs,Free course to build AI Agents #aitools #aiagents,digitalSamaritan,14,14,96.85714285714286,192817,4551
CusQM9FEq3E,Claude Code vs GitHub Copilot Agent: Which AI Dev Tool Wins in 2026?,Savage Reviews,30,18,120.83333333333333,37067,0
CwHD6Fg-Mjs,I vibe coded a $20K/month mobile app in 14 days,Starter Story,224,209,116.74107142857143,523707,12405
DLP9CagE3dU,Codex for Everyday Work: AI Agents Beyond Coding,OpenAI,100,82,198.69,38467,882
D_FCYsshMI4,Computer use in Codex,OpenAI,211,197,96.43601895734596,130962,4798
EH5jx5qPabU,From Zero to Your First AI Agent in 25 Minutes (No Coding),Futurepedia,217,212,112.17972350230414,3700591,95745
EJX9Ckqt0YU,Cursor vs Conductor vs Superset — Which Agentic Code Editor Is The Best?,Your Average Tech Bro,27,22,102.07407407407408,12742,233
ElYxdpYi4U0,The Only Agentic Engineer Workflow You Need In 2026,Zen van Riel,24,17,113.79166666666667,9378,317
EwVs3O2Zm6I,Master OpenAI Codex in 26 minutes,Keith AI,50,41,78.52,70823,1616
FwOTs4UxQS4,"AI Agents, Clearly Explained",Jeff Su,342,256,113.48830409356725,4339418,104879
G1O6TJEXfgE,After vs Before Cursor AI #cursorai #programming,Ayush IO,67,49,49.95522388059702,284597,2098
H3M95i4iS5c,Essential AI prompts for developers,Visual Studio Code,123,108,140.8780487804878,346802,11302
HDEGFNAUkX8,How to automate code reviews and testing with GitHub Copilot,GitHub,49,49,51.63265306122449,25843,298
HFM3se4lNiw,Introducing the Codex app,OpenAI,209,204,84.60287081339713,419409,9759
HIHxDqGauJU,The biggest difference between Claude Code and Cursor #ai #claudecode #cursor #claude,Rich Kuo,186,77,90.51075268817205,589718,4138
HIp8sFB2GGw,Cursor 2.0 is here... 5 things you didn&#39;t know it can do,Fireship,205,205,58.18536585365854,1054487,30496
IuyVVtr1uhY,Claude Code Tutorial - Build Apps 10x Faster with AI,Programming with Mosh,255,213,110.11372549019607,326245,6951
JSuS-zXMVwE,"Cursor ditches VS Code, but not everyone is happy...",Fireship,208,200,79.78365384615384,870040,24522
JW5KBivWl_0,"Vibe Coding Changed Everything: From $4,500 Loss to Building Apps for FREE",Vaibhav Sisinty,140,123,97.90714285714286,97591,3179
KF-JVTDftN4,OpenAI Codex CLI: Terminal AI That Actually Executes Code? #chatgpt #ainews,Moe Lueker,110,101,128.29090909090908,256231,2489
KO_GzPZtNV4,Felon 👀👮🏻‍♂️ AI coding assistant with open source llama3 for enhanced privacy and security,Sabrina Ramonov 🍄,2,2,37.0,1263,27
KXIdYEdOPys,Codex Full Course 2026: The NEW Best AI Coding Tool,Riley Brown,165,138,122.80606060606061,143450,4113
Kd0QGZMy_tA,OpenAI Codex in ChatGPT in 5 Minutes,Developers Digest,55,49,113.50909090909092,249016,1385
LR04bU_yV5k,Cursor 3 minute demo - the most popular AI code editor,Greg Baugues,55,43,112.01818181818182,141767,1276
LV-Uu7GvpUo,Will AI Replace Software Engineers? The Future Awaits! 🚀,Drive White,204,196,93.7156862745098,1294907,17599
Ll1UyM8kBNc,This is why I quit Cursor and switched to Claude Code,onjsdev,242,202,78.88842975206612,894597,10570
M-1uW4W8CgE,AI will replace software engineers? #ai #software #developer #tech #engineer #microsoft #google #job,Mahima Hans,28,27,119.96428571428571,7590,261
M9iu-GLdPRk,Google Gemini 2.5 pro vs CLAUDE 4. #coding #programming #gemini #claude4 #comparison #ai,ezCommit,274,255,63.284671532846716,867527,28695
MjSUCg2NN4g,AI Was Supposed to Replace Developers... Until It Couldn&#39;t,DevForge,280,233,183.07142857142858,375139,12777
MyRF01zzKvE,100 hours of Vibe Coding lessons in 20 minutes,Mikey No Code,32,22,128.9375,36399,0
NGXXosA9CRo,I tried every AI code editor so you don&#39;t have to,Your Average Tech Bro,66,52,198.83333333333334,43692,863
N_wq9OV4T4c,Will AI replace programmers? - NVIDIA CEO explains | Jensen Huang and Lex Fridman,Lex Clips,334,279,207.374251497006,125240,2730
OFmxKgaLN80,Why Companies Are Quietly Rehiring Software Engineers,Economy Media,205,201,175.95609756097562,604308,13102
Op2zz-0m5Fw,Vibe Coding an APP in 10 minutes [REAL in 2026],Arsh Goyal,17,11,104.11764705882354,5319,130
Oq8TUJuButM,Will AI Replace Software Engineers?,SuperSimpleDev,252,221,230.3293650793651,130164,5517
PLKrSVuT-Dg,How to make vibe coding not suck…,Fireship,212,208,73.03301886792453,860334,29314
PfpYTCeK-B0,Cursor: The AI Code Editor 📝🤖 #coding #programming #ai,Tom Shaw,22,17,86.45454545454545,136713,3181
QcxL0SXILC4,"What are Skills, Agents, Prompts, Instructions and how to use them?",Software Developer Diaries,18,13,115.61111111111111,24944,553
